***********************************************************************************
    ≤ÕÃ¸√˚     ≤À∆∑√˚   µ•º€  œ¬µ• ˝  ∫√∆¿  ÷–∆¿  ≤Ó∆¿                            
***********************************************************************************
      ∆∑ §     ∞µ∞µ∞°   13.00     0     3     0     0
      Œ∂≥€        hhh   23.00     1     2     0     2
      haha     ∂˛…Ÿ“Ø   66.00     1     0     0     0
      Œ∂≥€     ‡ﬁ‡ﬁ‡ﬁ   33.00     2     1     0     0
      Œ∂≥€     ¿≤¿≤¿≤  556.00     2     0     0     0
       aaa     ≥¥º¶µ∞   82.00     3     0     1     0
       aaa       …µ±∆    7.00     3     0     0     0
       aaa     asdasd  666.00     1     0     0     1
      Œ∂≥€     …’—º∑π   16.00     0     0     0     0
      Œ∂≥€     …’—º∑π   12.00     0     0     0     0
       bbb       …≥∫£    6.60     0     0     0     0
       qwe     ¥¿¥¿∑π    6.80     0     0     0     0
